File_A,File_B,Note,DecisionTime,A is neutral,B is neutral,Gain,freq,Cue
experiment data/Modified Sounds/C5.wav,experiment data/sounds/C5.wav,-7,9.948,False,True,3,2500,1.12
experiment data/sounds/F3.wav,experiment data/Modified Sounds/F3.wav,5,7.5,True,False,3,2500,1.12
experiment data/Modified Sounds/M6.wav,experiment data/sounds/M6.wav,-2,5.249,False,True,3,2500,1.12
experiment data/Modified Sounds/M4.wav,experiment data/sounds/M4.wav,5,1.582,False,True,3,2500,1.12
experiment data/Modified Sounds/M2.wav,experiment data/sounds/M2.wav,-7,11.206,False,True,3,2500,1.12
experiment data/Modified Sounds/C2.wav,experiment data/sounds/C2.wav,-1,5.562,False,True,3,2500,1.12
experiment data/Modified Sounds/F1.wav,experiment data/sounds/F1.wav,5,0.946,False,True,3,2500,1.12
experiment data/sounds/C1.wav,experiment data/Modified Sounds/C1.wav,9,0.883,True,False,3,2500,1.12
experiment data/sounds/F5.wav,experiment data/Modified Sounds/F5.wav,-7,1.052,True,False,3,2500,1.12
experiment data/Modified Sounds/F2.wav,experiment data/sounds/F2.wav,-7,1.601,False,True,3,2500,1.12
experiment data/Modified Sounds/C4.wav,experiment data/sounds/C4.wav,10,1.097,False,True,3,2500,1.12
experiment data/Modified Sounds/C3.wav,experiment data/sounds/C3.wav,-7,1.115,False,True,3,2500,1.12
experiment data/Modified Sounds/F4.wav,experiment data/sounds/F4.wav,-8,1.261,False,True,3,2500,1.12
experiment data/Modified Sounds/F9.wav,experiment data/sounds/F9.wav,-7,1.116,False,True,3,2500,1.12
experiment data/Modified Sounds/M3.wav,experiment data/sounds/M3.wav,6,1.272,False,True,3,2500,1.12
experiment data/Modified Sounds/F6.wav,experiment data/sounds/F6.wav,10,1.639,False,True,3,2500,1.12
experiment data/sounds/M5.wav,experiment data/Modified Sounds/M5.wav,-1,0.862,True,False,3,2500,1.12
experiment data/sounds/F7.wav,experiment data/Modified Sounds/F7.wav,3,0.893,True,False,3,2500,1.12
experiment data/Modified Sounds/F8.wav,experiment data/sounds/F8.wav,-4,0.959,False,True,3,2500,1.12
experiment data/sounds/C7.wav,experiment data/Modified Sounds/C7.wav,-7,1.268,True,False,3,2500,1.12
experiment data/Modified Sounds/M1.wav,experiment data/sounds/M1.wav,7,1.259,False,True,3,2500,1.12
