File_A,File_B,Note,DecisionTime,A is neutral,B is neutral,Gain,freq,Cue
experiment data/sounds/F6.wav,experiment data/Modified Sounds/F6.wav,-1,1.952,True,False,3,2500,1.12
experiment data/Modified Sounds/M6.wav,experiment data/sounds/M6.wav,-4,1.783,False,True,3,2500,1.12
experiment data/sounds/F9.wav,experiment data/Modified Sounds/F9.wav,5,4.992,True,False,3,2500,1.12
experiment data/Modified Sounds/M4.wav,experiment data/sounds/M4.wav,-10,3.084,False,True,3,2500,1.12
experiment data/sounds/F3.wav,experiment data/Modified Sounds/F3.wav,10,1.481,True,False,3,2500,1.12
experiment data/sounds/F4.wav,experiment data/Modified Sounds/F4.wav,-2,1.198,True,False,3,2500,1.12
