File_A,File_B,Note,DecisionTime,A is neutral,B is neutral,Gain,freq,Cue
experiment data/sounds/F2.wav,experiment data/Modified Sounds/F2.wav,-6,1.303,True,False,3,2500,1.12
experiment data/sounds/M3.wav,experiment data/Modified Sounds/M3.wav,1,1.018,True,False,3,2500,1.12
experiment data/Modified Sounds/M4.wav,experiment data/sounds/M4.wav,-4,1.217,False,True,3,2500,1.12
experiment data/Modified Sounds/F4.wav,experiment data/sounds/F4.wav,4,0.832,False,True,3,2500,1.12
experiment data/Modified Sounds/C3.wav,experiment data/sounds/C3.wav,-9,1.556,False,True,3,2500,1.12
experiment data/Modified Sounds/F1.wav,experiment data/sounds/F1.wav,7,2.398,False,True,3,2500,1.12
experiment data/Modified Sounds/M2.wav,experiment data/sounds/M2.wav,9,1.117,False,True,3,2500,1.12
