File_A,File_B,Note,DecisionTime,A is neutral,B is neutral,Gain,freq,Cue
experiment data/Modified Sounds/F1.wav,experiment data/sounds/F1.wav,-5,5.274,False,True,3,2500,1.12
experiment data/Modified Sounds/M4.wav,experiment data/sounds/M4.wav,3,5.021,False,True,3,2500,1.12
experiment data/Modified Sounds/C5.wav,experiment data/sounds/C5.wav,-6,10.614,False,True,3,2500,1.12
experiment data/sounds/M2.wav,experiment data/Modified Sounds/M2.wav,5,1.345,True,False,3,2500,1.12
experiment data/Modified Sounds/F8.wav,experiment data/sounds/F8.wav,1,1.002,False,True,3,2500,1.12
experiment data/Modified Sounds/M1.wav,experiment data/sounds/M1.wav,-3,1.009,False,True,3,2500,1.12
experiment data/sounds/C1.wav,experiment data/Modified Sounds/C1.wav,6,0.984,True,False,3,2500,1.12
experiment data/Modified Sounds/F9.wav,experiment data/sounds/F9.wav,8,1.031,False,True,3,2500,1.12
experiment data/sounds/M5.wav,experiment data/Modified Sounds/M5.wav,-7,1.058,True,False,3,2500,1.12
experiment data/sounds/C2.wav,experiment data/Modified Sounds/C2.wav,-10,1.119,True,False,3,2500,1.12
experiment data/Modified Sounds/F5.wav,experiment data/sounds/F5.wav,-10,0.962,False,True,3,2500,1.12
experiment data/sounds/F4.wav,experiment data/Modified Sounds/F4.wav,-9,0.929,True,False,3,2500,1.12
