File_A,File_B,Note,DecisionTime,A is neutral,B is neutral,Gain,freq,Cue
experiment data/Modified Sounds/C4.wav,experiment data/sounds/C4.wav,-7,6.289,False,True,3,2500,1.12
experiment data/sounds/M3.wav,experiment data/Modified Sounds/M3.wav,-1,4.994,True,False,3,2500,1.12
