File_A,File_B,Note,DecisionTime,Category,freq,Cue,A Gain,B Gain,Age,Sex,Completed
experiment data/SoundsForExperiment/-10_Pn.wav,experiment data/SoundsForExperiment/15_Pn.wav,6.2,14.334,,2500,1.12,-10,15,,,
experiment data/SoundsForExperiment/10_Pn.wav,experiment data/SoundsForExperiment/-5_Pn.wav,6.28,10.153,,2500,1.12,10,-5,,,
experiment data/SoundsForExperiment/0_Pn.wav,experiment data/SoundsForExperiment/0_Pn.wav,5.53,5.84,,2500,1.12,0,0,,,
experiment data/SoundsForExperiment/15_Pn.wav,experiment data/SoundsForExperiment/-15_Pn.wav,4.390000000000001,6.204,,2500,1.12,15,-15,,,
experiment data/SoundsForExperiment/0_Pn.wav,experiment data/SoundsForExperiment/5_Pn.wav,5.16,6.223,,2500,1.12,0,5,,,
experiment data/SoundsForExperiment/10_Pn.wav,experiment data/SoundsForExperiment/-10_Pn.wav,5.23,7.481,,2500,1.12,10,-10,,,
experiment data/SoundsForExperiment/5_Pn.wav,experiment data/SoundsForExperiment/-5_Pn.wav,4.09,7.49,,2500,1.12,5,-5,,,
,,,,,,,,,,,True
