File_A,File_B,Note,DecisionTime,Category,freq,Cue,A Gain,B Gain,Age,Sex,Completed
experiment data/SoundsForExperiment/0_M2.wav,experiment data/SoundsForExperiment/5_M2.wav,6.34,8.383,,2500,1.12,0,5,,,
experiment data/SoundsForExperiment/5_M3.wav,experiment data/SoundsForExperiment/-5_M3.wav,6.23,5.464,,2500,1.12,5,-5,,,
experiment data/SoundsForExperiment/-10_F3.wav,experiment data/SoundsForExperiment/10_F3.wav,6.23,5.149,,2500,1.12,-10,10,,,
experiment data/SoundsForExperiment/0_F2.wav,experiment data/SoundsForExperiment/0_F2.wav,4.23,4.283,,2500,1.12,0,0,,,
experiment data/SoundsForExperiment/5_F1.wav,experiment data/SoundsForExperiment/0_F1.wav,5.88,5.159,,2500,1.12,5,0,,,
experiment data/SoundsForExperiment/-10_M1.wav,experiment data/SoundsForExperiment/15_M1.wav,6.03,5.519,,2500,1.12,-10,15,,,
experiment data/SoundsForExperiment/0_F3.wav,experiment data/SoundsForExperiment/0_F3.wav,4.73,4.986,,2500,1.12,0,0,,,
experiment data/SoundsForExperiment/-5_F1.wav,experiment data/SoundsForExperiment/5_F1.wav,3.7,4.847,,2500,1.12,-5,5,,,
experiment data/SoundsForExperiment/-5_M1.wav,experiment data/SoundsForExperiment/10_M1.wav,4.5600000000000005,5.747,,2500,1.12,-5,10,,,
experiment data/SoundsForExperiment/10_F2.wav,experiment data/SoundsForExperiment/-5_F2.wav,4.08,4.678,,2500,1.12,10,-5,,,
experiment data/SoundsForExperiment/-5_F3.wav,experiment data/SoundsForExperiment/10_F3.wav,2.66,4.856,,2500,1.12,-5,10,,,
experiment data/SoundsForExperiment/0_M3.wav,experiment data/SoundsForExperiment/5_M3.wav,3.08,5.123,,2500,1.12,0,5,,,
experiment data/SoundsForExperiment/-10_F3.wav,experiment data/SoundsForExperiment/15_F3.wav,4.109999999999999,11.749,,2500,1.12,-10,15,,,
experiment data/SoundsForExperiment/-5_F3.wav,experiment data/SoundsForExperiment/5_F3.wav,4.140000000000001,4.468,,2500,1.12,-5,5,,,
experiment data/SoundsForExperiment/15_F1.wav,experiment data/SoundsForExperiment/-10_F1.wav,3.94,5.296,,2500,1.12,15,-10,,,
experiment data/SoundsForExperiment/-5_M3.wav,experiment data/SoundsForExperiment/10_M3.wav,6.41,61.712,,2500,1.12,-5,10,,,
experiment data/SoundsForExperiment/5_F2.wav,experiment data/SoundsForExperiment/0_F2.wav,4.88,4.979,,2500,1.12,5,0,,,
experiment data/SoundsForExperiment/5_F3.wav,experiment data/SoundsForExperiment/0_F3.wav,5.2,4.711,,2500,1.12,5,0,,,
experiment data/SoundsForExperiment/5_M1.wav,experiment data/SoundsForExperiment/-5_M1.wav,5.98,5.203,,2500,1.12,5,-5,,,
experiment data/SoundsForExperiment/15_M2.wav,experiment data/SoundsForExperiment/-15_M2.wav,4.67,7.705,,2500,1.12,15,-15,,,
experiment data/SoundsForExperiment/10_F1.wav,experiment data/SoundsForExperiment/-5_F1.wav,7.06,5.284,,2500,1.12,10,-5,,,
experiment data/SoundsForExperiment/0_M1.wav,experiment data/SoundsForExperiment/0_M1.wav,4.16,5.433,,2500,1.12,0,0,,,
experiment data/SoundsForExperiment/-10_M1.wav,experiment data/SoundsForExperiment/10_M1.wav,6.08,67.699,,2500,1.12,-10,10,,,
experiment data/SoundsForExperiment/5_M2.wav,experiment data/SoundsForExperiment/-5_M2.wav,3.67,6.35,,2500,1.12,5,-5,,,
